  210                        21 25 18.1   -71 47 58    6.09  W      star K2III
  211                        11 24 11.2   -72 15 23    5.59         star B2IV
  212                        12 56 31.5   -72 11 06    5.93         star G8III
  213                        13 22 52.7   -72 08 48    6.05  W      star B6V
  214 Gam Mus                12 32 28.0   -72 07 59    3.87         star B5V
  215                        13 19 19.0   -72 02 07    6.04         star K3III
  216                        10 30 20.2   -71 59 35    4.74         star A1V
  217                        06 40 57.9   -71 46 32    6.51  W      star K1III
  218                        11 20 03.9   -71 59 40    6.41         star B4V
  219                        00 04 41.3   -71 26 13    5.59         star B8IV
  220                        12 49 45.0   -71 59 11    5.55         star G8I
  221                        15 07 08.7   -71 54 19    6.52         star K4III
  222                        06 15 06.0   -71 42 10    6.64         star F8V
  223 The Tuc                00 33 23.3   -71 15 58    6.13         star A7IV
  224 Zet Pav                18 43 02.1   -71 25 41    4.01  W      star K0III
  225                        09 27 06.5   -71 36 08    5.47         star K2III
  226 Bet Men                05 02 43.1   -71 18 52    5.31         star G8III
  227 Kap1Vol                08 19 49.1   -71 30 54    5.37  W      star B9III
  228 Kap2Vol                08 20 00.8   -71 30 19    5.65  W      star A0IV
  229 Del Mus                13 02 16.2   -71 32 56    3.62         star K2III
  230                        21 45 28.8   -71 00 32    6.01         star B8IV
  231                        12 02 28.7   -71 29 20    6.42         star K1III
  232                        13 03 05.2   -71 28 34    6.03         star B1III
  233                        11 11 29.6   -71 26 10    6.35         star K2III
  234                        09 56 09.8   -71 23 22    6.35         star B9I
  235 Mu  Men                04 43 04.0   -70 55 52    5.54         star B8II
  236 Iot Vol                06 51 27.0   -70 57 48    5.40         star B7IV
  237                        16 34 19.3   -70 59 17    5.50         star K1III
  238                        23 44 25.4   -70 29 25    6.07         star G8IV
  239                        18 14 24.1   -70 45 05    6.73         star B7II
  240                        22 25 10.5   -70 25 54    5.78         star F3III
  241                        17 12 19.8   -70 43 16    6.22         star K1IV
  242                        22 49 17.4   -70 20 52    6.34         star A2V
  243                        11 06 50.0   -70 52 41    5.57  W      star B2V
  244                        10 44 19.5   -70 51 35    6.26  W      star A5IV
  245                        10 44 32.1   -70 51 18    6.46  W      star A6IV
  246                        13 40 00.6   -70 47 18    6.59         star K0III
